instruction,project,tasks,output
Generate project status summary,Payroll Automation,"[{""title"": ""Payroll verification"", ""status"": ""in-progress""}, {""title"": ""Appraisal data entry"", ""status"": ""completed""}]",The project reflects mixed task progress. Pending items may impact timelines if not addressed.
Generate project status summary,Compliance Tracker,"[{""title"": ""Vendor contract upload"", ""status"": ""pending""}, {""title"": ""Appraisal data entry"", ""status"": ""completed""}, {""title"": ""Attendance reconciliation"", ""status"": ""in-progress""}, {""title"": ""Onboarding documentation"", ""status"": ""completed""}]",The project reflects mixed task progress. Pending items may impact timelines if not addressed.
Generate project status summary,Attendance Revamp,"[{""title"": ""Attendance reconciliation"", ""status"": ""pending""}, {""title"": ""Onboarding documentation"", ""status"": ""pending""}, {""title"": ""Audit preparation"", ""status"": ""pending""}, {""title"": ""Attendance reconciliation"", ""status"": ""pending""}]",The project reflects mixed task progress. Pending items may impact timelines if not addressed.
Generate project status summary,HRMS Core Upgrade,"[{""title"": ""Policy review"", ""status"": ""pending""}, {""title"": ""Appraisal data entry"", ""status"": ""completed""}, {""title"": ""Policy review"", ""status"": ""in-progress""}]",The project reflects mixed task progress. Pending items may impact timelines if not addressed.
Generate project status summary,Payroll Automation,"[{""title"": ""Vendor contract upload"", ""status"": ""completed""}, {""title"": ""Attendance reconciliation"", ""status"": ""completed""}, {""title"": ""Attendance reconciliation"", ""status"": ""pending""}]",The project reflects mixed task progress. Pending items may impact timelines if not addressed.
Generate project status summary,Compliance Tracker,"[{""title"": ""Onboarding documentation"", ""status"": ""in-progress""}, {""title"": ""Exit clearance"", ""status"": ""pending""}, {""title"": ""Attendance reconciliation"", ""status"": ""in-progress""}]",The project reflects mixed task progress. Pending items may impact timelines if not addressed.
Generate project status summary,Attendance Revamp,"[{""title"": ""Compliance filing"", ""status"": ""pending""}, {""title"": ""Appraisal data entry"", ""status"": ""pending""}, {""title"": ""Onboarding documentation"", ""status"": ""in-progress""}, {""title"": ""Compliance filing"", ""status"": ""completed""}]",The project reflects mixed task progress. Pending items may impact timelines if not addressed.
Generate project status summary,HRMS Core Upgrade,"[{""title"": ""Onboarding documentation"", ""status"": ""pending""}, {""title"": ""Vendor contract upload"", ""status"": ""completed""}, {""title"": ""Compliance filing"", ""status"": ""in-progress""}]",The project reflects mixed task progress. Pending items may impact timelines if not addressed.
Generate project status summary,Payroll Automation,"[{""title"": ""Compliance filing"", ""status"": ""completed""}, {""title"": ""Exit clearance"", ""status"": ""completed""}, {""title"": ""Vendor contract upload"", ""status"": ""pending""}, {""title"": ""Compliance filing"", ""status"": ""in-progress""}]",The project reflects mixed task progress. Pending items may impact timelines if not addressed.
Generate project status summary,Compliance Tracker,"[{""title"": ""Payroll verification"", ""status"": ""completed""}, {""title"": ""Onboarding documentation"", ""status"": ""completed""}, {""title"": ""Audit preparation"", ""status"": ""in-progress""}, {""title"": ""Exit clearance"", ""status"": ""completed""}]",The project reflects mixed task progress. Pending items may impact timelines if not addressed.
Generate project status summary,Attendance Revamp,"[{""title"": ""Onboarding documentation"", ""status"": ""completed""}, {""title"": ""Exit clearance"", ""status"": ""in-progress""}]",The project reflects mixed task progress. Pending items may impact timelines if not addressed.
Generate project status summary,HRMS Core Upgrade,"[{""title"": ""Exit clearance"", ""status"": ""pending""}, {""title"": ""Onboarding documentation"", ""status"": ""pending""}, {""title"": ""Exit clearance"", ""status"": ""in-progress""}, {""title"": ""Compliance filing"", ""status"": ""in-progress""}]",The project reflects mixed task progress. Pending items may impact timelines if not addressed.
Generate project status summary,Payroll Automation,"[{""title"": ""Exit clearance"", ""status"": ""in-progress""}, {""title"": ""Onboarding documentation"", ""status"": ""completed""}]",The project reflects mixed task progress. Pending items may impact timelines if not addressed.
Generate project status summary,Compliance Tracker,"[{""title"": ""Appraisal data entry"", ""status"": ""pending""}, {""title"": ""Compliance filing"", ""status"": ""completed""}]",The project reflects mixed task progress. Pending items may impact timelines if not addressed.
Generate project status summary,Attendance Revamp,"[{""title"": ""Exit clearance"", ""status"": ""pending""}, {""title"": ""Exit clearance"", ""status"": ""completed""}, {""title"": ""Appraisal data entry"", ""status"": ""in-progress""}, {""title"": ""Appraisal data entry"", ""status"": ""completed""}]",The project reflects mixed task progress. Pending items may impact timelines if not addressed.
Generate project status summary,HRMS Core Upgrade,"[{""title"": ""Exit clearance"", ""status"": ""pending""}, {""title"": ""Onboarding documentation"", ""status"": ""completed""}]",The project reflects mixed task progress. Pending items may impact timelines if not addressed.
Generate project status summary,Payroll Automation,"[{""title"": ""Exit clearance"", ""status"": ""pending""}, {""title"": ""Appraisal data entry"", ""status"": ""in-progress""}]",The project reflects mixed task progress. Pending items may impact timelines if not addressed.
Generate project status summary,Compliance Tracker,"[{""title"": ""Audit preparation"", ""status"": ""completed""}, {""title"": ""Audit preparation"", ""status"": ""in-progress""}]",The project reflects mixed task progress. Pending items may impact timelines if not addressed.
Generate project status summary,Attendance Revamp,"[{""title"": ""Appraisal data entry"", ""status"": ""completed""}, {""title"": ""Policy review"", ""status"": ""pending""}, {""title"": ""Vendor contract upload"", ""status"": ""completed""}, {""title"": ""Payroll verification"", ""status"": ""completed""}]",The project reflects mixed task progress. Pending items may impact timelines if not addressed.
